base_requirement_id,state_code,state_name,board_type,provider_type,substantial_cme_required,cme_equivalent_accepted,total_hours_required,renewal_period_months,hours_per_year_equivalent,min_category1_hours,category1_percentage,max_category2_hours,rollover_allowed,max_rollover_hours,accreditation_required,base_effective_date,base_last_updated,base_statute_citation,board_guidance_url,base_notes,board_name,board_abbreviation,board_website_url,board_cme_guidance_url,board_contact_email,board_phone,board_last_verified,content_specific_count,content_topics,content_requirements_summary,exemptions_count,exemption_types,exemptions_summary,special_population_count,special_population_topics,special_population_summary,base_created_at,base_updated_at
ccc738cf-2ffb-4545-96cb-459752e5be37,DC,District of Columbia,COMBINED,BOTH,True,False,50,24,25.0,50,100.0,,False,,Category 1,2021-01-01,2025-10-01,"D.C. Mun. Regs. tit.17, § 4607.4",,"10% of total must be in DOH-identified public health priorities. As part of 2018 renewal: 3 hrs HIV/AIDS, 2 hrs LGBTQ cultural competency, 1 hr pharmacology.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355957,2025-11-19T01:49:35.355957
eed04e0d-a23b-48a3-9817-6c429a89113b,FL-O,Florida,OSTEOPATHIC,DO,True,False,40,24,20.0,20,,,False,,20 hours AOA Category 1-A; AMA Category 1 or AOA for remainder,,2025-10-01,Fla. Admin. Code. Ann. r. 64B15-13.001,,"5 hours: 1 hr risk management, 1 hr FL laws/rules, 1 hr controlled substances, 2 hrs medical errors. 1 hr HIV/AIDS (first renewal). 2 hrs domestic violence (every 3rd renewal). 20 hrs AOA Category 1-A.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355960,2025-11-19T01:49:35.355961
cf554851-7c0e-49b5-a3d8-1ac94413d648,FL-M,Florida,MEDICAL,MD,True,False,40,24,20.0,,,,False,,AMA Category 1 or 2,,2025-10-01,Fla. Admin. Code. Ann. r. 64B8-13.005; 64B8-9.0131,,38 hours general CME + 1 hr HIV/AIDS + 2 hrs medical errors + 2 hrs domestic violence (every 3rd renewal). DEA registrants: 2 hrs controlled substances per biennial renewal.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355959,2025-11-19T01:49:35.355959
d0466ea2-50d2-4078-85de-ce488362fc1b,GA,Georgia,COMBINED,BOTH,True,False,40,24,20.0,10,25.0,,False,,25% must be Category 1,2018-01-01,2025-10-01,Ga. Comp. R. & Regs. 360-15-.01,,"Effective 1/1/2018: DEA registrants prescribing controlled substances must complete 3 hrs Category 1 on responsible opioid prescribing before next renewal. One-time 2-hour sexual misconduct/professional boundaries course required (effective 1/1/2022). Board may waive 1 hr CME for every 4 hrs uncompensated healthcare, up to 8 hrs per biennium.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355962,2025-11-19T01:49:35.355962
f86cbf9a-0083-4077-9f3b-c8a3a65c0215,GU,Guam,COMBINED,BOTH,True,False,100,24,50.0,25,25.0,,False,,25% must be Category 1,,2025-10-01,25 GAR Prof. & Voc. Regs § 11101(g)(9),,100 hours every 2 years; 25% must be Category 1.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355964,2025-11-19T01:49:35.355964
2e963a04-9603-4cc7-82af-a6e2a2e47754,HI,Hawaii,COMBINED,BOTH,True,False,40,24,20.0,40,100.0,,False,,Category 1 or 1A,,2025-10-01,Haw. Admin. R. §16-85-33,,All 40 hours must be Category 1 or 1A.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355966,2025-11-19T01:49:35.355966
fdc5185f-df8d-482b-8640-352831605c93,ID,Idaho,COMBINED,BOTH,True,True,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,Idaho Admin. Code r. 22.01.01-079.01,,"Board may accept ABMS, AOA, or RCPSC certification/recertification in lieu of CME during cycle in which certification granted.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355968,2025-11-19T01:49:35.355968
ec953b8d-7b5f-4a2a-9815-d60ec4378f90,IL,Illinois,COMBINED,BOTH,True,False,150,36,50.0,60,40.0,,False,,60 hours Category 1; remainder Category 2,,2025-10-01,"Ill. Admin. Code tit.68., § 1285.110",,"During each 3-year cycle: 1 hr sexual harassment prevention, 1 hr implicit bias. Every 6 years: 1 hr opioids, 1 hr cultural competency, 1 hr dementia. Beginning 7/1/2026: 1 hr implicit bias for maternal health providers; simulation training accepted.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355970,2025-11-19T01:49:35.355970
9a56821f-3301-4204-bbb3-1fa814c68acd,IN,Indiana,COMBINED,BOTH,False,False,,,,,,,False,,,,2025-10-01,IC § 35-48-3-3.5,,"Indiana does not have a set number of required CME hours. Beginning July 1, 2019: 2 hours addressing opioid prescribing and abuse.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355971,2025-11-19T01:49:35.355972
7a5d3f4a-848e-4269-8da2-f8d884c88a40,IA,Iowa,COMBINED,BOTH,True,True,40,24,20.0,,,,True,20,Category 1,,2025-10-01,Iowa Admin. Code r. 653-11.2(2),,"May include up to 20 hours carried over from previous period. Board accepts resident training, ABMS/AOA board cert/recert as equivalent to 50 hours Category 1. Primary care providers: 2 hrs child/adult abuse every 3 years. Opioid prescribers: 2 hrs CDC guidelines every 5 years. End-of-life providers: training every 5 years.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355973,2025-11-19T01:49:35.355973
3f033487-26b8-4f20-be02-f055552f368a,KS,Kansas,COMBINED,BOTH,True,False,100,24,50.0,40,40.0,,False,,"Minimum 40 Category 1, remainder Category 2",,2025-10-01,Kan. Admin. Regs. § 100-15-5,,"Flexible renewal periods: 50 hrs/18 months (20 Cat 1) OR 100 hrs/30 months (40 Cat 1) OR 150 hrs/42 months (60 Cat 1). Using 24-month approximation. Category 3 requirement: 1-3 hours (based on cycle) on pain management, opioid prescribing, or PDMP use.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355975,2025-11-19T01:49:35.355975
e0f064a6-f048-4a78-9192-4dd4e16ea142,KY,Kentucky,COMBINED,BOTH,True,False,60,36,20.0,30,50.0,,False,,30 hours Category 1; remainder Category 2,2015-01-01,2025-10-01,201 KAR 9:310,,"One-time domestic violence course for primary care physicians. Beginning 1/1/2015: 4.5 hrs per 3-year cycle on KASPER, pain management, or addiction disorders for controlled substance prescribers.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355977,2025-11-19T01:49:35.355977
1a05e47f-5f31-4618-b917-d50df4e1a7e1,LA,Louisiana,COMBINED,BOTH,True,False,20,12,20.0,20,100.0,,False,,Category 1,2018-01-01,2025-10-01,"La. Admin. Code tit. 46, pt. XLV, §§ 435",,"All must be Category 1. Effective 1/1/2018: CDS licensees complete one-time 3-hour course on drug diversion, best prescribing practices, addiction treatment. One-time board orientation course required. As of 6/20/2025: 1 hr/2 years on nutrition and metabolic health for FM, IM, Peds, OB/GYN.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355979,2025-11-19T01:49:35.355979
6daae32c-4d2c-4258-826b-a6273844f56f,ME-O,Maine,OSTEOPATHIC,DO,True,False,100,24,50.0,40,,,False,,40 hrs osteopathic medical education; primary care: all AOA Cat 1; specialists: AOA/ACGME/AMA Cat 1,,2025-10-01,02 ME Code Rules § 383-14-1,,"100 hrs every 2 years; 40 must be osteopathic. Primary care: all AOA Category 1. Specialists: AOA, ACGME, or AMA Category 1. Controlled substance prescribers: 3 hrs on opioid prescription every 2 years.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355982,2025-11-19T01:49:35.355982
867ad222-d4c1-424c-a04e-e4a8b874b357,ME-M,Maine,MEDICAL,MD,True,True,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,Code Me. R § 373-1-11,,All Category 1. 3 hours on opioid prescription every 2 years. Category 1 may include 25 credit hours of ABMS specialty board cert/recert within 24 months preceding renewal.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355980,2025-11-19T01:49:35.355981
e00bd16c-ff41-46ba-a78e-23cb8306509c,MD,Maryland,COMBINED,BOTH,True,True,50,24,25.0,25,50.0,,False,,25 hours Category 1; remainder Category 2,2018-10-01,2025-10-01,COMAR 10.32.01.10,,"Effective 10/1/2018: when applying for CDS registration, attest to 2 hrs on prescribing/dispensing controlled substances. Effective 10/1/2021: complete implicit bias training first renewal after 4/1/2022. Time-limited board certification within 5 years of renewal = CME equivalent.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355984,2025-11-19T01:49:35.355984
fd657209-3270-460e-976b-f10f6d3ee2d8,MA,Massachusetts,COMBINED,BOTH,True,False,50,24,25.0,,,,False,,"ACCME, AOA, AAFP or state medical society recognized by ACCME or point of care",,2025-10-01,243 CMR 2.06,,2 cr end-of-life (one-time); 3 cr opioid/pain mgmt if prescriber; 10 cr risk management (Cat 1 or 2); 3 cr EHR; child abuse/neglect training; domestic/sexual violence training; 1 cr/hr journal reading or point-of-care. Alzheimer's training for adult populations (one-time). Beginning 6/1/2022: 2 cr implicit bias (applies to risk mgmt).,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355986,2025-11-19T01:49:35.355986
3c0bb486-c063-4cc9-b7df-b058d1f0a9c6,MI-O,Michigan,OSTEOPATHIC,DO,True,False,150,36,50.0,60,40.0,,False,,60 hours Category 1; remainder Category 2,2017-12-06,2025-10-01,Public Health Code 338.7004,,"One-time human trafficking training; 1 hr medical ethics. Effective 12/6/2017: min 3 hrs pain/symptom management (1 hr controlled substances prescribing). Effective 6/1/2022: 2 hrs implicit bias (initial), 1 hr annually (renewal).",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355989,2025-11-19T01:49:35.355990
0b0558cd-163a-406b-ad8f-a98bda4ef641,MI-M,Michigan,MEDICAL,MD,True,True,150,36,50.0,75,50.0,,False,,75 hours Category 1; remainder Category 2,2017-12-06,2025-10-01,Mich. Admin. Code r. 338.2441,,"1 hr medical ethics required. Effective 12/6/2017: min 3 hrs pain/symptom management. Effective 6/1/2022: 2 hrs implicit bias (initial), 1 hr annually (renewal). ABMS specialty board maintenance activity: max 30 Cat 1 hours.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355988,2025-11-19T01:49:35.355988
662466c6-f4a0-48c9-9b6e-350aa122fd24,MN,Minnesota,COMBINED,BOTH,True,True,75,36,25.0,75,100.0,,False,,Category 1,,2025-10-01,"Minnesota Rules, part 5605.0100-.1200",,"All must be Category 1. Board may accept ABMS, AOA Bureau of Professional Education, or RCPSC cert/recert in lieu of CME during cycle in which certification granted.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355991,2025-11-19T01:49:35.355992
68b420d6-0b1b-40b3-b57b-671f3bb0890e,MS,Mississippi,COMBINED,BOTH,True,False,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,MS Rules Part 2610 Ch. 2,,All Category 1. DEA certificate holders: 5 hrs related to prescribing medications with emphasis on controlled substances.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355993,2025-11-19T01:49:35.355993
af7bd627-26ab-4bd9-910b-c3d909d2d63e,MO,Missouri,COMBINED,BOTH,True,True,50,24,25.0,,,,False,,AMA Category 1 or AOA Category 1A or 2A; OR 40 hrs Cat 1/1A with proof of post-testing,,2025-10-01,20 CSR 2150-2.125,,50 hrs AMA Cat 1 or AOA Cat 1A/2A; OR 40 hrs Cat 1/1A with post-testing. ABMS specialty board cert/recert during period = CME equivalent.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355995,2025-11-19T01:49:35.355995
8a02d922-1ffc-4d94-b68c-3b203fab98f3,MT,Montana,COMBINED,BOTH,False,False,,,,,,,False,,,,2025-10-01,,,Montana does not have a set number of required CME credit hours for physician license renewal.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355999,2025-11-19T01:49:35.355999
8060d7d3-099d-453c-abc7-4de5fdcca8f2,NE,Nebraska,COMBINED,BOTH,True,False,50,24,25.0,50,100.0,,True,25,Category 1,2018-10-01,2025-10-01,"Neb. Admin. R. & Regs. Tit. 172, Ch. 88, § 008",,All Category 1. May carry over up to 25 hrs to next period. In lieu of CME: AMA Physician's Recognition Award or AOA CME Certification within 24 months. Effective 10/1/2018: controlled substance prescribers complete 3 hrs biennially on opioid prescribing (0.5 hr on PDMPs).,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356000,2025-11-19T01:49:35.356001
cbe3e2d2-88eb-447e-9dba-2d69b2b90d78,NV-O,Nevada,OSTEOPATHIC,DO,True,False,40,12,40.0,10,,,False,,10 hrs Category 1A; 2 hrs controlled substances/opioids/addiction,,2025-10-01,Nev. Rev. Stat. 633.471,,"AB 56 (2025) increased from 35 hrs/year. 10 hrs Cat 1A; 2 hrs misuse/abuse of controlled substances, opioid prescribing, or addiction. 2 hrs suicide detection every 4 years. 2 hrs ethics/pain mgmt/addiction or SBIRT; 2 hrs cultural competency/DEI if psychiatrist. MDs/PAs providing emergency services: 2 hrs HIV stigma/discrimination one-time.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356004,2025-11-19T01:49:35.356004
112229e8-e4cd-446c-b07e-5d95c508dc30,NV-M,Nevada,MEDICAL,MD,True,False,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,NRS § 630.253,,"20 hrs in specialty scope; 2 hrs ethics/pain mgmt/addiction; 18 hrs other medical ed (includes 2 hrs controlled substances if prescriber, 2 hrs cultural competency/DEI if psychiatrist, 2 hrs suicide detection every 4 yrs, 2 hrs SBIRT one-time). Can receive up to 4 hrs double credit for geriatrics, medication management, rare diseases. AB 56 (2025) removed WMD/bioterrorism requirement.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356002,2025-11-19T01:49:35.356002
4cf4115d-6d74-462c-bc7e-ad892ff3cfcc,NH,New Hampshire,COMBINED,BOTH,True,True,100,24,50.0,40,,60,False,,40 hrs Category 1; max 60 hrs Category 2; 3 hrs pain management,,2025-10-01,N.H. Rev. Stat. § 329:16-g,,"100 hrs/2 years: 40 Cat I, max 60 Cat II, 3 hrs pain management. ABMS specialty board exam (initial or recert) = equivalent of 100 Cat I hours.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356007,2025-11-19T01:49:35.356007
9e03eeb2-99c2-48fe-9251-bc275fd29af7,NJ,New Jersey,COMBINED,BOTH,True,False,100,24,50.0,40,,60,False,,40 hrs Category 1; max 60 hrs Category 2; 6 hrs cultural competence,,2025-10-01,N.J. Admin. Code 13:35-6.25,,"100 hrs: 40 Cat I, 60 Cat II, 6 hrs cultural competence (additional for pre-3/2/2005 licensees). 2 hrs end-of-life care. For 2019+ renewals: 1 hr on opioids (responsible prescribing, alternatives, risks/signs of abuse/addiction/diversion). New licensees: attend orientation (no CME credit).",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356009,2025-11-19T01:49:35.356009
c30916c1-607f-4bbc-a0bf-b2ec90f8d2de,NM,New Mexico,COMBINED,BOTH,True,True,75,36,25.0,75,100.0,,False,,Category 1,,2025-10-01,N.M. Admin. Code § 16.10.14.11,,"All Category 1. New licensees with DEA registration: 5 hrs pain management in first year. Board accepts AMA PRA Category 1, ABMS certificate, or ABMS specialty board cert/recert during renewal period as fulfillment.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356011,2025-11-19T01:49:35.356011
e4ce75a9-d31f-446a-8ba8-7a22e26b6786,NY,New York,COMBINED,BOTH,False,False,,,,,,,False,,,,2025-10-01,"N.Y. Comp. Codes, R. & Regs. tit. 8, §§ 59.12, 59.13",,"New York does not have set CME hours for renewal. Required: 2 hrs child abuse/maltreatment identification/reporting; infection control/barrier precautions every 4 years. DEA registrants (including residents): 3 hrs pain management, palliative care, and addiction.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356013,2025-11-19T01:49:35.356013
16c3a75c-d955-4af3-a5d6-497335e1cacb,NC,North Carolina,COMBINED,BOTH,True,True,60,36,20.0,60,100.0,,False,,Category 1 relevant to specialty or practice area,,2025-10-01,"N.C. Admin. Code tit. 21, r. 32R.0101",,"All Category 1 relevant to specialty/practice. Controlled substance prescribers: 3 hrs from required 60 on controlled substance prescribing practices, recognizing abuse/misuse, chronic pain management. Physicians engaged in ABMS, AOA, or RCPSC recert/MOC program = entire CME requirement satisfied.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356015,2025-11-19T01:49:35.356015
826ea07b-933b-489e-a12f-e7f69faf5c3e,ND,North Dakota,COMBINED,BOTH,True,True,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,N.D. Admin. Code 50-04-01-02,,"All Category 1. Physicians with current ABMS, AOA, or RCPSC certification/MOC/recertification at time of CME audit are exempt.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356016,2025-11-19T01:49:35.356017
4f7e3426-e296-4205-87d2-a0406dee1bb0,MP,Northern Mariana Islands,COMBINED,BOTH,True,False,50,24,25.0,50,100.0,,False,,Category 1,,2025-10-01,Title 185-10-4215,,All 50 hours must be Category 1.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355997,2025-11-19T01:49:35.355997
aa000d0f-9c5c-4ecf-a9c0-187410a5f3ad,OH,Ohio,COMBINED,BOTH,True,False,50,24,25.0,50,100.0,,False,,Category 1,,2025-10-01,Ohio Admin. Code §§ 4731-10-02,,All Category 1. 1 hr on licensee's duty to report. Pain management clinic owner/operators: 20 hrs in pain medicine every 2 years (including ≥1 course on addiction potential).,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356018,2025-11-19T01:49:35.356019
e3e34cb2-7692-4072-86ef-eaa5d7de3147,OK-O,Oklahoma,OSTEOPATHIC,DO,True,False,16,12,16.0,16,,,False,,AOA Category 1A or 1B,,2025-10-01,OK Admin Code 510:10-3-8,,16 hrs annually; all AOA Cat 1A or 1B. 1 hr annually on prescribing/dispensing/administering controlled substances. DOs without State Bureau of Narcotics and DEA authority for CDS are exempt from controlled substance CME.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356022,2025-11-19T01:49:35.356022
bb6f4736-ff68-4e18-8f89-c095690cab13,OK-M,Oklahoma,MEDICAL,MD,True,True,60,36,20.0,60,100.0,,False,,Category 1,,2025-10-01,59 O.S. § 495a.1,,"All Category 1. 1 hr pain management or opioid use/addiction each year preceding renewal (unless no DEA registration). Every 2 years: 1 hr training on responsibilities/rights of healthcare providers. Board accepts AMA PRA, ABMS specialty board cert/recert during 3-year period as verification.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356020,2025-11-19T01:49:35.356020
f9f3968f-e5a3-4243-bdd8-fbae63b20a9f,OR,Oregon,COMBINED,BOTH,True,True,60,24,30.0,60,100.0,,False,,AMA Category 1; AOA Category 1A or 2A,,2025-10-01,OAR 847-008-0075,,"60 hrs/2 years (or 30 if licensed in second year of biennium). All AMA Cat 1; AOA Cat 1A or 2A. All licensees (except Lapsed, Limited, Telemedicine, Teleradiology, Telemonitoring): 1-hr pain management course + min 6 hrs pain mgmt and/or terminally ill treatment. Cultural competency, suicide risk assessment, Alzheimer's education count toward mandatory CME. Demonstrate competency via CME OR ABMS/AOA-BOS recert/MOC participation.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356024,2025-11-19T01:49:35.356024
57c201d4-9abb-42d2-b59f-ae48b2e31184,PA-O,Pennsylvania,OSTEOPATHIC,DO,True,False,100,24,50.0,20,,,False,,20 hrs Category 1-A; 12 hrs patient safety/risk mgmt; 2 hrs child abuse; remainder Cat 1 or 2,,2025-10-01,"Pa. Code tit. 49, § 25.271",,"100 hrs: 20 Cat 1-A, 12 patient safety/risk mgmt (Cat 1 or 2), 2 child abuse recognition/reporting, remainder Cat 1 or 2. Within 12 months of initial licensure: 2 hrs pain mgmt or addiction identification + 2 hrs opioid prescribing. Subsequent renewals: 2 hrs pain mgmt, addiction identification, or prescribing.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356027,2025-11-19T01:49:35.356028
580569b1-ecea-43cd-88fa-7e61a425f529,PA-M,Pennsylvania,MEDICAL,MD,True,True,100,24,50.0,20,,,False,,20 hrs Category 1; 12 hrs patient safety/risk mgmt; 2 hrs child abuse; remainder Cat 1 or 2,,2025-10-01,"Pa. Code tit. 49, § 16.19",,"100 hrs: 20 Cat 1, 12 patient safety/risk mgmt, 2 child abuse recognition/reporting, remainder Cat 1 or 2. Within 12 months of initial licensure: 2 hrs pain mgmt or addiction identification + 2 hrs opioid prescribing. Subsequent renewals: 2 hrs pain mgmt, addiction identification, or prescribing. Acceptable Cat 1: AMA PRA, ACCME-accredited, medical professional society, ABMS specialty certification.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356026,2025-11-19T01:49:35.356026
