Report_ID,Category,Assessment_Area,Requirement_ID,Compliance_Standard,Requirement_Description,Implementation_Status,Schema_Ready,Application_Integrated,Real_Data_Logging,Weekly_Status,Severity,Risk_Level,Evidence,Gap_Description,Remediation_Required,Estimated_Effort_Hours,Owner,Last_Assessment_Date,Next_Review_Date,Notes
RPT-2025W47-014,Change Management,Git Commit Audit,N/A,SOC2 CC8.1,Track all code changes with attribution,IMPLEMENTED,N/A,Yes,Yes,COMPLIANT,Low,Low,.github/AUDIT_LOG_GUIDE.md,All commits GPG signed; git history maintained as permanent audit trail,No,0,Claude Code,2025-11-20,2025-11-27,Compliant - 7 year retention
RPT-2025W47-015,Change Management,Pull Request Reviews,N/A,SOC2 CC8.1,Require reviews for all code changes,IMPLEMENTED,N/A,Yes,Yes,COMPLIANT,Low,Low,.github/CODEOWNERS,CODEOWNERS configured; PR reviews required for protected branches,No,0,Claude Code,2025-11-20,2025-11-27,Compliant - enforced by GitHub
RPT-2025W47-016,PHI Protection,Data Encryption at Rest,N/A,HIPAA 164.312(a)(2)(iv),Encrypt PHI fields in database,SCHEMA READY,Yes,Partial,Unknown,NEEDS VERIFICATION,Critical,High,credentialmate_data_bible.md,Fernet encryption key generated; encrypted fields defined. Need verification that encryption is applied.,Verify,4,Claude Code,2025-11-20,2025-11-27,Test that NPI/SSN/DOB fields are encrypted
RPT-2025W47-017,PHI Protection,Data Encryption in Transit,CMP-010,HIPAA 164.312(e)(1),TLS encryption for all data transmission,IMPLEMENTED,N/A,Yes,Yes,COMPLIANT,Low,Low,AWS ACM SSL,SSL certificates configured; HTTPS enforced on all endpoints,No,0,DevOps,2025-11-20,2025-11-27,Compliant - TLS 1.2+ enforced
RPT-2025W47-018,PHI Protection,Redaction Rules,N/A,HIPAA 164.312(d),Mask PHI in logs and AI inputs,DOCUMENTED,Yes,Partial,Unknown,NEEDS VERIFICATION,High,Medium,governance/redaction_rules_spec.md,Redaction rules documented; need verification that they are applied before CloudWatch logging,Verify,4,Claude Code,2025-11-20,2025-11-27,Ensure no PHI in CloudWatch logs
RPT-2025W47-019,Secrets Management,AWS Secrets Manager,N/A,HIPAA 164.308(a)(4),Centralized secrets with rotation,PARTIAL,Yes,Partial,N/A,IN PROGRESS,Critical,Critical,TRK-13091335 P0-2,Production secret created; EC2 IAM role needs Secrets Manager permissions,Yes,16,DevOps,2025-11-20,2025-11-27,Critical blocker for beta launch
RPT-2025W47-020,Keystroke Logging,Granular Input Tracking,N/A,Optional,Track individual keystrokes on sensitive forms,NOT PLANNED,Yes,No,No,DEFERRED,Low,Low,AUDIT_TRAIL_IMPLEMENTATION_PLAN.md Phase 4,Schema exists; implementation deferred as optional for v1,No,0,Claude Code,2025-11-20,2025-11-27,Optional - implement only if required by audit
RPT-2025W47-021,Weekly Activity,Repository Commits,N/A,Internal,Track development activity for the week,TRACKED,N/A,N/A,Yes,3 COMMITS,Info,Low,git log --since 2025-11-14,"3 commits: SOC2/HIPAA hardening files, CODEOWNERS, workflows, gitignore updates",No,0,Claude Code,2025-11-20,2025-11-27,Low activity week - infrastructure setup
RPT-2025W47-022,Weekly Activity,Trackers Updated,N/A,Internal,Track compliance task progress,TRACKED,N/A,N/A,Yes,23 TRACKERS,Info,Low,TRACKERS.csv,23 trackers covering features/bugs/compliance/deployment tasks,No,0,Claude Code,2025-11-20,2025-11-27,Active tracking of all work items
RPT-2025W47-023,Risk Register,Incomplete Audit Trail,RISK-002,HIPAA 164.312(b),Insufficient logging leading to compliance failure,MITIGATING,Yes,No,No,ACTIVE RISK,High,High,RISK_REGISTER.csv RISK-002,"100+ entries in CHANGES_LOG.csv but no database-level audit logging yet",Yes,28-44,Claude Code,2025-11-20,2025-11-27,Primary compliance risk - must implement AUDIT_TRAIL_IMPLEMENTATION_PLAN
RPT-2025W47-024,Risk Register,Data Breach via Unauthorized Access,RISK-001,HIPAA 164.308(a)(1),Unauthorized access to PHI,MITIGATING,Yes,No,No,ACTIVE RISK,High,Critical,RISK_REGISTER.csv RISK-001,2FA not implemented; access controls need enhancement,Yes,24,Claude Code,2025-11-20,2025-11-27,Implement MFA before beta launch
RPT-2025W47-025,Compliance Score,HIPAA 164.312(b) - Audit Controls,CMP-007,HIPAA,Overall audit control compliance,20%,Yes,No,No,CRITICAL,Critical,High,All evidence above,"Schema ready (20%), Application integration (0%), Immutability (0%), Real data logging (0%)",Yes,28-44,Claude Code,2025-11-20,2025-11-27,Must complete Phases 1-3 of AUDIT_TRAIL_IMPLEMENTATION_PLAN
RPT-2025W47-026,Compliance Score,SOC2 CC6.1 - Access Controls,CMP-006|CMP-011,SOC2,Overall logical access control compliance,60%,Yes,Partial,Partial,MODERATE,Medium,Medium,AUTH-001,Authentication works; RLS defined; audit logging missing,Yes,12,Claude Code,2025-11-20,2025-11-27,Complete audit integration for access events
RPT-2025W47-027,Compliance Score,SOC2 CC7.2 - Monitoring,CMP-012,SOC2,System monitoring compliance,10%,Yes,No,No,CRITICAL,High,High,TRK-13091329,CloudWatch not deployed; no production monitoring,Yes,16,DevOps,2025-11-20,2025-11-27,Deploy CloudWatch before beta launch
RPT-2025W47-028,Compliance Score,SOC2 CC8.1 - Change Management,N/A,SOC2,Change management audit trail,95%,N/A,Yes,Yes,COMPLIANT,Low,Low,Git history + PRs,Signed commits and PR reviews fully implemented,No,0,Claude Code,2025-11-20,2025-11-27,Maintain current practices
RPT-2025W47-029,Summary,Overall Real Data Logging Score,N/A,HIPAA/SOC2,Percentage of real data being logged,15%,45%,15%,15%,CRITICAL GAP,Critical,High,All assessments,"Schema infrastructure at 45% ready. Application integration at 15%. Real data capture at 15%. Must implement audit middleware, change events, and immutability triggers.",Yes,28-44,Claude Code,2025-11-20,2025-11-27,Priority 1: Phase 3 (Immutability) -> Phase 1 (Middleware) -> Phase 2 (Events)
RPT-2025W47-030,Recommendation,Immediate Actions,N/A,HIPAA/SOC2,Required remediation for compliance,ACTION REQUIRED,N/A,N/A,N/A,URGENT,Critical,Critical,AUDIT_TRAIL_IMPLEMENTATION_PLAN.md,"1) Implement immutability triggers (2-4h), 2) Deploy audit middleware (8-12h), 3) Integrate AuditService in all routes, 4) Deploy CloudWatch monitoring (16h), 5) Complete secrets migration (16h)",Yes,56-64,Claude Code,2025-11-20,2025-11-27,Total 56-64 hours of critical compliance work required before beta launch
